base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,fridge_0001_dof_rootd_Aa002_r_joint
0.928279,-2.3175,0.12338,0.658345,0.191731,-1.06691,0.875181,0.861725,1.14e-06,-0.001
0.917181,-2.29297,0.131804,0.648499,0.192159,-1.06815,0.876056,0.822548,-3.18977e-05,-0.0377563
0.905281,-2.26898,0.14013,0.638561,0.192534,-1.06925,0.876852,0.783227,-6.99068e-05,-0.0754646
0.892586,-2.24556,0.148366,0.628539,0.192856,-1.07022,0.877571,0.743772,-0.000113714,-0.113134
0.879105,-2.22273,0.15652,0.618447,0.193125,-1.07104,0.878211,0.704195,-0.000164274,-0.150772
0.864847,-2.2005,0.164597,0.608294,0.193342,-1.07174,0.878776,0.664507,-0.000222774,-0.188384
0.849824,-2.17891,0.172605,0.598092,0.193507,-1.07229,0.879266,0.624721,-0.000290713,-0.225976
0.834047,-2.15797,0.180551,0.587851,0.193619,-1.07271,0.879682,0.584848,-0.000369998,-0.263555
0.817528,-2.1377,0.18844,0.577584,0.193679,-1.073,0.880028,0.544901,-0.000463092,-0.301124
0.800281,-2.11813,0.19628,0.567299,0.193686,-1.07314,0.880305,0.504892,-0.000573252,-0.338688
0.782321,-2.09927,0.204076,0.557008,0.19364,-1.07315,0.880517,0.464832,-0.000704821,-0.376253
0.763663,-2.08115,0.211834,0.546722,0.19354,-1.07301,0.880669,0.424735,-0.000863887,-0.413822
0.744326,-2.06378,0.219559,0.536449,0.193385,-1.07273,0.880767,0.384609,-0.0010589,-0.451399
0.724327,-2.04719,0.227254,0.526199,0.193174,-1.0723,0.880822,0.344465,-0.00130251,-0.48899
0.703688,-2.03139,0.234922,0.515979,0.192904,-1.07172,0.880847,0.3043,-0.00161388,-0.526602
0.682429,-2.01641,0.242556,0.505787,0.19257,-1.07097,0.880868,0.264088,-0.00202422,-0.564256
0.660574,-2.00226,0.250129,0.495601,0.192164,-1.07003,0.880925,0.223727,-0.0025886,-0.602004
0.638149,-1.989,0.257544,0.48533,0.191669,-1.06885,0.881099,0.182863,-0.00341841,-0.640013
0.615167,-1.97671,0.264578,0.474755,0.191038,-1.06732,0.881589,0.140666,-0.0047854,-0.678669
0.591619,-1.9657,0.270438,0.463088,0.190102,-1.06497,0.883125,0.0942466,-0.00770268,-0.719283
0.567214,-1.95635,0.274508,0.449719,0.187774,-1.05889,0.890831,0.0411072,-0.019133,-0.763128
0.541716,-1.95111,0.270769,0.428633,0.19313,-1.07336,0.859591,-0.0410676,0.021249,-0.820461
0.512492,-1.94039,0.281129,0.421743,0.190876,-1.06757,0.865438,-0.0769837,0.0118892,-0.85985
0.482178,-1.92971,0.292861,0.416326,0.189555,-1.06421,0.866473,-0.109061,0.00885135,-0.898244
0.451114,-1.91975,0.304903,0.411324,0.188399,-1.06129,0.866361,-0.140545,0.00723012,-0.936769
0.41956,-1.91081,0.316894,0.40638,0.187281,-1.05848,0.865735,-0.172364,0.00618919,-0.975636
0.387621,-1.90291,0.328869,0.401534,0.186166,-1.05567,0.864794,-0.20429,0.00546981,-1.01469
0.35536,-1.89607,0.340853,0.396812,0.185037,-1.05283,0.863637,-0.236196,0.0049462,-1.05386
0.322819,-1.89029,0.352866,0.392237,0.183886,-1.04993,0.862318,-0.268008,0.00455,-1.09311
0.290036,-1.88558,0.364915,0.387819,0.182707,-1.04696,0.860869,-0.299694,0.00424092,-1.13243
0.257047,-1.88193,0.377007,0.383565,0.181499,-1.04391,0.859311,-0.331241,0.00399389,-1.17181
0.223887,-1.87936,0.389145,0.37948,0.180259,-1.04079,0.857659,-0.362643,0.00379252,-1.21127
0.190591,-1.87787,0.401334,0.375567,0.178988,-1.03758,0.855923,-0.393894,0.0036259,-1.25079
0.157196,-1.87746,0.413577,0.37183,0.177684,-1.03429,0.85411,-0.42499,0.00348625,-1.2904
0.12374,-1.87814,0.425878,0.368271,0.17635,-1.03092,0.852228,-0.455928,0.0033677,-1.33008
0.0902584,-1.87992,0.438243,0.364892,0.174986,-1.02747,0.850283,-0.486705,0.0032663,-1.36984
0.0567901,-1.88278,0.450674,0.361695,0.173593,-1.02395,0.848279,-0.517317,0.00317889,-1.40969
0.023371,-1.88673,0.46318,0.358676,0.172174,-1.02036,0.846224,-0.547767,0.0031031,-1.44962
-0.00996532,-1.89177,0.475772,0.355837,0.17073,-1.01671,0.844122,-0.578045,0.0030372,-1.48965
-0.0431906,-1.89789,0.488472,0.353177,0.169261,-1.013,0.841975,-0.608132,0.00297967,-1.52978
-0.0762821,-1.90507,0.501316,0.350701,0.167766,-1.00922,0.839781,-0.637987,0.00292891,-1.57
