base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
0.093106,-1.73393,-0.233978,-0.387386,-0.596296,-0.625052,1.22135,0.949433,-3.14159
0.114773,-1.73626,-0.210656,-0.364071,-0.585412,-0.631971,1.20821,0.9106,-3.06301
0.136435,-1.7386,-0.187334,-0.340757,-0.574524,-0.638889,1.19507,0.871768,-2.98443
0.158086,-1.74093,-0.164014,-0.317444,-0.563623,-0.6458,1.18193,0.832937,-2.90585
0.1797,-1.74327,-0.140697,-0.294134,-0.552687,-0.652695,1.16879,0.794109,-2.82727
0.201198,-1.7456,-0.11739,-0.270836,-0.541641,-0.659537,1.15565,0.755291,-2.74868
0.222371,-1.74794,-0.0941154,-0.247568,-0.530285,-0.666231,1.14251,0.716502,-2.6701
0.242611,-1.75027,-0.0709304,-0.224391,-0.518047,-0.672499,1.12935,0.677797,-2.59151
0.26069,-1.7526,-0.0479588,-0.201427,-0.503795,-0.677795,1.11615,0.639286,-2.51291
0.27323,-1.75494,-0.025541,-0.179017,-0.484433,-0.680619,1.10283,0.601278,-2.43427
0.281975,-1.75727,-0.00361975,-0.157103,-0.462359,-0.682066,1.08932,0.563678,-2.35563
0.285023,-1.75961,0.017385,-0.136106,-0.43736,-0.681911,1.07531,0.526784,-2.277
0.285844,-1.76194,0.0380288,-0.11547,-0.411238,-0.681137,1.06111,0.490166,-2.19836
0.2857,-1.76428,0.0585144,-0.0949922,-0.384644,-0.680101,1.04683,0.45367,-2.11973
0.285213,-1.76661,0.0789438,-0.0745707,-0.357889,-0.678976,1.03251,0.417216,-2.0411
0.284588,-1.76894,0.0993511,-0.0541714,-0.331091,-0.677822,1.01818,0.380777,-1.96247
0.283866,-1.77128,0.119744,-0.0337864,-0.304318,-0.676667,1.00385,0.344343,-1.88384
0.282955,-1.77361,0.140111,-0.0134277,-0.277671,-0.675537,0.98952,0.307911,-1.80521
0.281543,-1.77595,0.160409,0.00686246,-0.251398,-0.67448,0.975189,0.271479,-1.72658
0.278723,-1.77828,0.180514,0.0269596,-0.226191,-0.673636,0.960859,0.235048,-1.64795
0.272723,-1.78062,0.200184,0.0466206,-0.2034,-0.673275,0.946529,0.198616,-1.56932
0.258732,-1.78295,0.218757,0.0651862,-0.186677,-0.674122,0.932199,0.162185,-1.49069
0.241339,-1.78529,0.236852,0.0832727,-0.172702,-0.67555,0.91787,0.125753,-1.41206
0.222448,-1.78762,0.254737,0.101149,-0.159929,-0.67723,0.903542,0.0893222,-1.33343
0.203019,-1.78996,0.272546,0.118949,-0.147593,-0.679005,0.889214,0.052891,-1.2548
0.183398,-1.79229,0.290328,0.136723,-0.135412,-0.680813,0.874887,0.01646,-1.17617
0.163715,-1.79463,0.308101,0.154487,-0.123281,-0.682634,0.860561,-0.0199709,-1.09754
0.14401,-1.79696,0.325871,0.172249,-0.111166,-0.68446,0.846235,-0.0564017,-1.01891
0.1243,-1.7993,0.343641,0.190009,-0.0990551,-0.686288,0.83191,-0.0928325,-0.940278
0.104587,-1.80163,0.36141,0.20777,-0.0869454,-0.688117,0.817585,-0.129263,-0.861647
0.084873,-1.80397,0.37918,0.22553,-0.0748356,-0.689948,0.803261,-0.165694,-0.783017
0.0651588,-1.8063,0.396949,0.24329,-0.0627254,-0.69178,0.788938,-0.202124,-0.704387
0.0454443,-1.80864,0.414719,0.261051,-0.0506148,-0.693614,0.774616,-0.238554,-0.625756
0.0257294,-1.81098,0.432489,0.278811,-0.0385035,-0.695448,0.760294,-0.274984,-0.547126
0.00601404,-1.81331,0.450258,0.296571,-0.0263918,-0.697284,0.745974,-0.311414,-0.468496
-0.0137022,-1.81564,0.468028,0.314331,-0.0142794,-0.699122,0.731654,-0.347844,-0.389866
-0.0334194,-1.81798,0.485798,0.332092,-0.00216654,-0.70096,0.717334,-0.384274,-0.311235
-0.0531375,-1.82031,0.503569,0.349852,0.0099469,-0.7028,0.703016,-0.420704,-0.232605
-0.0728561,-1.82264,0.521339,0.367612,0.0220609,-0.704641,0.688698,-0.457133,-0.153975
-0.0925752,-1.82498,0.539109,0.385373,0.0341753,-0.706484,0.674381,-0.493563,-0.0753444
-0.112295,-1.82731,0.55688,0.403133,0.0462901,-0.708327,0.660064,-0.529992,0.00328592
