base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,door_8966_joint_1
1.01556,0.882931,0.0439086,-0.303884,-0.908493,0.8646,0.043893,1.31082,-1.5708,2.57401e-18
0.99329,0.905672,0.10307,-0.338678,-0.964081,0.95595,0.00813112,1.32959,-1.5708,0.00559703
0.971183,0.902644,0.113264,-0.365268,-0.989965,0.997527,-0.00756272,1.29875,-1.5708,0.0200364
0.949131,0.889889,0.104707,-0.388771,-1.00421,1.02014,-0.0159365,1.24895,-1.5708,0.0377799
0.926593,0.872609,0.0877409,-0.410925,-1.01314,1.03424,-0.0210942,1.19084,-1.5708,0.0567677
0.903314,0.853581,0.067804,-0.432651,-1.02018,1.04528,-0.0251071,1.13003,-1.5708,0.0759132
0.879233,0.833805,0.0467601,-0.454273,-1.0265,1.05517,-0.0286761,1.06844,-1.5708,0.0948388
0.854356,0.813698,0.0252998,-0.475917,-1.03256,1.06462,-0.032061,1.00677,-1.5708,0.113403
0.828707,0.793435,0.003643,-0.49763,-1.0385,1.07384,-0.0353475,0.945252,-1.5708,0.131556
0.802312,0.773113,-0.0181436,-0.519434,-1.04437,1.08293,-0.0385638,0.883939,-1.5708,0.149278
0.775194,0.752802,-0.0400451,-0.541341,-1.05018,1.0919,-0.0417194,0.82285,-1.5708,0.166559
0.747379,0.732563,-0.0620625,-0.563361,-1.05595,1.10077,-0.0448172,0.761979,-1.5708,0.183393
0.718889,0.712459,-0.0842013,-0.585501,-1.06167,1.10953,-0.0478581,0.701316,-1.5708,0.199777
0.689743,0.692552,-0.106467,-0.607767,-1.06734,1.11818,-0.0508415,0.640849,-1.5708,0.215712
0.659952,0.672912,-0.128859,-0.63016,-1.07295,1.12672,-0.0537668,0.580562,-1.5708,0.231214
0.629503,0.653632,-0.151358,-0.65266,-1.0785,1.13513,-0.0566306,0.520438,-1.5708,0.246339
0.598309,0.634871,-0.173887,-0.67519,-1.08397,1.1434,-0.0594242,0.460447,-1.5708,0.261271
0.566065,0.616968,-0.196192,-0.697496,-1.08931,1.15144,-0.0621238,0.400526,-1.5708,0.276581
0.531817,0.600779,-0.217478,-0.718783,-1.09438,1.15904,-0.0646619,0.340521,-1.5708,0.294013
0.493023,0.588323,-0.235553,-0.736858,-1.09884,1.16571,-0.0668718,0.280098,-1.5708,0.318286
0.442349,0.584638,-0.244032,-0.745338,-1.10176,1.17007,-0.0683107,0.218446,-1.5708,0.362978
0.365772,0.596638,-0.22989,-0.731196,-1.10168,1.16995,-0.0682707,0.155462,-1.5708,0.454247
0.221433,0.633325,-0.155955,-0.657262,-1.09538,1.16054,-0.0651597,0.0930294,-1.5708,0.664548
0.0624848,0.654068,-0.0528142,-0.554122,-1.09082,1.1537,-0.0628791,0.0553444,-1.5708,0.908514
-0.0812728,0.653795,0.0562139,-0.445095,-1.09259,1.15637,-0.0637731,0.0461334,-1.5708,1.13578
-0.173393,0.641077,0.128412,-0.372899,-1.10198,1.17042,-0.068438,0.0464286,-1.5708,1.27988
-0.216505,0.634466,0.162019,-0.339293,-1.11532,1.19024,-0.0749166,0.0508542,-1.5708,1.34267
-0.238412,0.631958,0.179392,-0.321919,-1.12492,1.20438,-0.079464,0.0556096,-1.57079,1.37266
-0.250416,0.631224,0.190119,-0.311193,-1.12913,1.21056,-0.0814295,0.0601599,-1.5708,1.38956
-0.258847,0.630834,0.198308,-0.303003,-1.13102,1.21332,-0.0823047,0.064129,-1.5708,1.40197
-0.266039,0.629787,0.205157,-0.296154,-1.13191,1.21463,-0.0827194,0.0667173,-1.5708,1.41308
-0.27283,0.628118,0.211343,-0.289969,-1.13245,1.21542,-0.0829677,0.0682789,-1.5708,1.42389
-0.279478,0.626148,0.217282,-0.284029,-1.13287,1.21603,-0.0831605,0.0694273,-1.5708,1.43462
-0.286069,0.624022,0.223136,-0.278176,-1.13324,1.21658,-0.0833357,0.0704255,-1.5708,1.44533
-0.292629,0.621804,0.228965,-0.272346,-1.13361,1.21712,-0.0835031,0.0713874,-1.5708,1.45603
-0.299165,0.619519,0.234792,-0.266519,-1.13398,1.21765,-0.0836735,0.0723538,-1.5708,1.46671
-0.30568,0.617174,0.240623,-0.260688,-1.13435,1.21819,-0.0838407,0.073339,-1.5708,1.47739
-0.312174,0.614773,0.24646,-0.254851,-1.13472,1.21873,-0.0840126,0.0743468,-1.5708,1.48806
-0.318647,0.612316,0.252304,-0.249008,-1.13509,1.21927,-0.0841837,0.075377,-1.5708,1.49871
-0.325099,0.609799,0.258152,-0.24316,-1.13546,1.21982,-0.0843561,0.076426,-1.5708,1.50936
-0.331529,0.607218,0.264,-0.237311,-1.13584,1.22037,-0.0845283,0.077484,-1.5708,1.52
